Timestamp (UTC),Open,High,Low,Close
2023-09-01 13:30:00,192.500,192.500,192.500,192.500
2023-09-01 14:00:00,192.750,192.750,192.750,192.750
2023-09-01 14:15:00,192.600,192.600,192.600,192.600
2023-09-01 14:45:00,192.300,192.300,192.075,192.075
2023-09-01 15:00:00,192.075,192.175,192.050,192.050
2023-09-01 15:15:00,192.050,192.350,192.050,192.100
2023-09-01 15:30:00,192.100,192.500,192.100,192.100
2023-09-01 15:45:00,192.000,192.100,192.000,192.050
2023-09-01 16:00:00,192.000,192.000,192.000,192.000
2023-09-01 16:15:00,192.000,192.000,192.000,192.000
2023-09-01 17:00:00,192.000,192.100,192.000,192.100
2023-09-01 17:15:00,192.000,192.000,192.000,192.000
2023-09-01 17:30:00,192.000,192.050,192.000,192.000
2023-09-01 18:00:00,192.000,192.000,192.000,192.000
2023-09-05 13:30:00,192.075,192.100,192.075,192.100
2023-09-05 14:00:00,192.000,192.050,192.000,192.050
2023-09-05 14:15:00,192.050,192.200,192.050,192.200
2023-09-05 14:30:00,192.400,192.400,192.400,192.400
2023-09-05 14:45:00,192.275,192.275,192.250,192.250
2023-09-05 15:00:00,192.300,192.300,192.300,192.300
2023-09-05 16:00:00,193.000,193.000,193.000,193.000
2023-09-05 16:15:00,192.825,192.825,192.825,192.825
2023-09-05 17:15:00,192.600,192.600,192.600,192.600
2023-09-06 13:30:00,192.600,192.600,192.350,192.350
2023-09-06 13:45:00,192.650,192.650,192.650,192.650
2023-09-06 14:00:00,192.550,192.800,192.325,192.800
2023-09-06 15:30:00,192.600,192.600,192.600,192.600
2023-09-06 15:45:00,193.000,193.000,193.000,193.000
2023-09-06 16:00:00,193.000,193.000,193.000,193.000
2023-09-06 16:15:00,193.000,193.000,193.000,193.000
2023-09-06 16:30:00,193.000,193.000,193.000,193.000
2023-09-06 17:00:00,193.475,193.475,193.475,193.475
2023-09-06 17:30:00,193.650,193.650,193.500,193.500
2023-09-06 17:45:00,193.525,193.525,193.375,193.500
2023-09-07 13:30:00,193.000,193.525,193.000,193.525
2023-09-07 14:00:00,193.725,193.725,193.725,193.725
2023-09-07 14:15:00,193.700,193.700,193.700,193.700
2023-09-07 14:45:00,193.500,193.800,193.500,193.800
2023-09-07 16:00:00,194.000,194.000,194.000,194.000
2023-09-07 16:15:00,193.800,193.800,193.800,193.800
2023-09-07 18:00:00,194.150,194.150,194.150,194.150
2023-09-08 13:30:00,194.250,194.250,194.250,194.250
2023-09-08 13:45:00,194.000,194.200,194.000,194.200
2023-09-08 14:45:00,194.050,194.050,194.050,194.050
2023-09-08 15:30:00,194.000,194.000,194.000,194.000
2023-09-08 15:45:00,194.000,194.100,194.000,194.100
2023-09-08 17:15:00,193.900,193.900,193.900,193.900
2023-09-11 13:30:00,194.500,194.500,194.500,194.500
2023-09-11 13:45:00,194.500,194.500,194.500,194.500
2023-09-11 14:00:00,194.500,194.500,194.500,194.500
2023-09-11 14:30:00,195.000,195.000,195.000,195.000
2023-09-11 14:45:00,195.000,195.000,195.000,195.000
2023-09-11 15:00:00,195.000,195.000,195.000,195.000
2023-09-11 15:45:00,194.800,194.800,194.575,194.575
2023-09-11 16:15:00,194.800,194.800,194.800,194.800
2023-09-11 16:45:00,195.000,195.000,195.000,195.000
2023-09-11 17:00:00,195.000,195.000,195.000,195.000
2023-09-12 14:00:00,195.075,195.075,195.000,195.000
2023-09-12 16:45:00,195.500,195.500,195.500,195.500
2023-09-13 13:30:00,195.225,195.225,195.225,195.225
2023-09-13 15:30:00,194.925,194.950,194.925,194.950
2023-09-13 15:45:00,195.000,195.050,195.000,195.050
2023-09-13 16:00:00,195.150,195.250,195.150,195.250
2023-09-13 16:15:00,195.200,195.200,195.200,195.200
2023-09-13 16:30:00,195.175,195.250,195.150,195.250
2023-09-13 17:00:00,195.250,195.250,195.250,195.250
2023-09-13 17:30:00,195.350,195.350,195.350,195.350
2023-09-13 17:45:00,195.400,195.400,195.400,195.400
2023-09-14 13:30:00,195.400,195.800,195.400,195.800
2023-09-14 13:45:00,195.700,196.000,195.700,196.000
