Timestamp (UTC),Open,High,Low,Close
2023-09-01 13:30:00,-2.400,-1.900,-2.400,-1.900
2023-09-01 15:00:00,-1.900,-1.900,-2.225,-1.900
2023-09-01 16:30:00,-1.925,-1.900,-1.925,-1.900
2023-09-05 13:30:00,-2.200,-2.000,-2.200,-2.000
2023-09-05 15:00:00,-2.000,-2.000,-2.150,-2.150
2023-09-05 16:30:00,-2.100,-2.100,-2.150,-2.150
2023-09-06 13:30:00,-2.150,-2.050,-2.150,-2.050
2023-09-06 15:00:00,-2.125,-2.025,-2.125,-2.025
2023-09-06 16:30:00,-2.025,-2.025,-2.150,-2.150
2023-09-07 13:30:00,-2.275,-2.050,-2.275,-2.050
2023-09-07 15:00:00,-2.225,-2.225,-2.225,-2.225
2023-09-07 18:00:00,-2.225,-2.225,-2.225,-2.225
2023-09-08 13:30:00,-2.250,-2.075,-2.250,-2.100
2023-09-08 15:00:00,-2.100,-2.025,-2.100,-2.025
2023-09-08 16:30:00,-2.050,-2.025,-2.050,-2.025
2023-09-11 13:30:00,-2.075,-2.000,-2.075,-2.025
2023-09-11 15:00:00,-2.050,-2.000,-2.050,-2.000
2023-09-11 16:30:00,-2.025,-2.000,-2.025,-2.000
2023-09-12 13:30:00,-2.000,-2.000,-2.000,-2.000
2023-09-12 15:00:00,-2.075,-2.075,-2.075,-2.075
2023-09-12 16:30:00,-2.025,-2.025,-2.100,-2.100
2023-09-13 13:30:00,-2.025,-2.025,-2.025,-2.025
2023-09-13 15:00:00,-2.100,-2.025,-2.100,-2.025
2023-09-13 16:30:00,-2.075,-2.025,-2.075,-2.025
2023-09-13 18:00:00,-2.075,-2.075,-2.075,-2.075
2023-09-14 13:30:00,-2.050,-2.000,-2.075,-2.025
2023-09-14 15:00:00,-2.100,-2.100,-2.100,-2.100
2023-09-14 16:30:00,-2.100,-2.000,-2.100,-2.025
2023-09-15 13:30:00,-2.000,-2.000,-2.075,-2.050
2023-09-15 15:00:00,-2.050,-2.050,-2.125,-2.125
2023-09-15 16:30:00,-2.075,-2.025,-2.075,-2.075
2023-09-18 13:30:00,-2.125,-2.125,-2.125,-2.125
2023-09-18 15:00:00,-2.075,-2.075,-2.225,-2.225
2023-09-18 18:00:00,-2.300,-2.300,-2.300,-2.300
2023-09-19 13:30:00,-2.075,-2.075,-2.075,-2.075
2023-09-19 15:00:00,-2.375,-2.375,-2.475,-2.475
2023-09-19 16:30:00,-2.575,-2.575,-2.575,-2.575
2023-09-20 13:30:00,-2.300,-2.300,-2.300,-2.300
2023-09-20 15:00:00,-2.325,-2.325,-2.325,-2.325
2023-09-20 16:30:00,-2.325,-2.175,-2.325,-2.175
2023-09-21 15:00:00,-2.300,-2.225,-2.350,-2.325
2023-09-21 16:30:00,-2.175,-2.175,-2.175,-2.175
2023-09-22 13:30:00,-2.275,-2.225,-2.300,-2.225
2023-09-22 15:00:00,-2.175,-2.125,-2.175,-2.125
2023-09-22 16:30:00,-2.175,-2.150,-2.175,-2.150
2023-09-22 18:00:00,-2.150,-2.150,-2.150,-2.150
2023-09-25 13:30:00,-2.175,-2.175,-2.325,-2.325
2023-09-25 15:00:00,-2.225,-2.200,-2.300,-2.300
2023-09-25 16:30:00,-2.175,-2.175,-2.200,-2.200
2023-09-25 18:00:00,-2.300,-2.300,-2.325,-2.325
2023-09-26 13:30:00,-2.450,-2.400,-2.575,-2.400
